"","country_code","name","1950","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020"
"34",231,"Ethiopia",18128.03,19947.291,22151.284,25013.634,28415.08,32566.855,35141.703,40652.146,47887.864,57047.906,66224.809,76346.31,87639.962,100835.453,114963.583
"35",404,"Kenya",6076.757,6987.658,8120.082,9530.163,11301.394,13575.898,16417.203,19877.078,23724.574,27768.297,31964.557,36624.897,42030.684,47878.339,53771.3
"36",450,"Madagascar",4083.548,4543.54,5099.368,5769.215,6576.305,7556.032,8716.549,10063.493,11598.647,13475.403,15766.806,18336.722,21151.64,24234.08,27691.019
"37",454,"Malawi",2953.871,3270.545,3659.98,4134.464,4703.783,5384.798,6250.434,7268.271,9404.499,9844.418,11148.751,12625.95,14539.609,16745.305,19129.955
"38",480,"Mauritius",493.258,570.65,660.025,753.283,826.451,892.219,966.039,1015.764,1055.869,1128.676,1185.147,1222.01,1247.953,1259.457,1271.767
"39",175,"Mayotte",15.138,18.994,24.016,30.52,36.964,45.48,55.136,72.108,94.779,123.186,150.331,178.103,208.716,240.011,272.813
"40",508,"Mozambique",5958.982,6508.4,7184.87,8039.217,9022.747,10165.216,11630.194,12764.385,12987.292,15483.277,17711.925,20493.927,23531.567,27042.001,31255.435
"41",638,"Reunion",248.114,291.663,335.694,390.773,462.029,484.785,509.264,558.704,610.584,673.543,736.714,791.598,830.507,863.359,895.308
"42",646,"Rwanda",2186.183,2527.293,2935.575,3235.536,3757.351,4364.709,5153.314,6146.884,7288.883,5836.49,7933.688,8840.22,10039.338,11369.066,12952.209
"43",690,"Seychelles",36.325,38.963,41.611,46.787,52.371,59.584,66.237,69.772,70.572,76.653,80.998,88.652,91.273,94.981,98.34
"44",706,"Somalia",2264.076,2491.543,2755.967,3068.465,3444.569,3880.285,6281.138,6648.628,7225.089,7491.647,8872.25,10446.856,12043.886,13797.204,15893.219
"45",728,"South Sudan",2482.306,2619.718,2842.718,3133.155,3494.011,3941.613,4502.603,5220.748,5492.62,5118.084,6199.396,7535.931,9508.372,10715.657,11193.729
"46",800,"Uganda",5158.191,5888.791,6767.092,7986.062,9405.606,10737.403,12442.333,14559.357,17354.395,20413.157,23650.159,27684.59,32428.164,38225.447,45741
